company_id,year,icr,label
ADANIENSOL,Mar 2015,1.42,Risk
ADANIGREEN,Mar 2017,1.45,Risk
ADANIGREEN,Mar 2019,1.43,Risk
ADANIGREEN,Mar 2020,1.35,Risk
ADANIGREEN,Mar 2021,1.35,Risk
ADANIPOWER,Mar 2013,0.69,Risk
ADANIPOWER,Mar 2014,1.14,Risk
ADANIPOWER,Mar 2015,1.21,Risk
ADANIPOWER,Mar 2017,0.39,Risk
ADANIPOWER,Mar 2018,1.11,Risk
ADANIPOWER,Mar 2019,1.31,Risk
ADANIPOWER,Mar 2020,1.14,Risk
BHARTIARTL,Mar 2020,-0.08,Risk
BHEL,Mar 2016,0.38,Risk
BHEL,Mar 2020,0.75,Risk
BHEL,Mar 2021,-5.69,Risk
DLF,Mar 2014,1.47,Risk
DLF,Mar 2019,1.42,Risk
JINDALSTEL,Mar 2015,1.41,Risk
JINDALSTEL,Mar 2016,1.03,Risk
JINDALSTEL,Mar 2017,1.26,Risk
JSWSTEEL,Mar 2016,1.24,Risk
LODHA,Mar 2021,1.09,Risk
NAUKRI,Mar 2020,-4.57,Risk
TATAMOTORS,Mar 2019,-0.35,Risk
TATASTEEL,Mar 2013,1.36,Risk
TRENT,Mar 2021,1.2,Risk
UNIONBANK,Mar 2013,0.18,Risk
UNIONBANK,Mar 2014,0.1,Risk
UNIONBANK,Mar 2015,0.13,Risk
UNIONBANK,Mar 2016,0.08,Risk
UNIONBANK,Mar 2017,0.03,Risk
UNIONBANK,Mar 2018,-0.27,Risk
UNIONBANK,Mar 2019,-0.15,Risk
UNIONBANK,Mar 2020,-0.14,Risk
UNIONBANK,Mar 2021,0.07,Risk
UNIONBANK,Mar 2022,0.23,Risk
UNIONBANK,Mar 2023,0.27,Risk
UNIONBANK,Mar 2024,0.35,Risk
