company_id,year,de_ratio,net_debt,asset_turnover
ADANIENSOL,Mar 2015,8.96,9701,0.01
ADANIGREEN,Mar 2018,7.36,9777,0.09
ADANIGREEN,Mar 2019,5.76,11065,0.14
ADANIGREEN,Mar 2020,6.31,14390,0.14
ADANIGREEN,Mar 2021,11.0,23707,0.11
ADANIGREEN,Mar 2022,20.21,52258,0.09
ADANIGREEN,Mar 2023,7.42,53074,0.12
ADANIGREEN,Mar 2024,6.6,63343,0.1
ADANIPOWER,Mar 2013,9.74,41773,0.12
ADANIPOWER,Mar 2014,6.75,44035,0.26
ADANIPOWER,Mar 2015,7.82,44385,0.32
ADANIPOWER,Mar 2016,7.06,52729,0.33
ADANIPOWER,Mar 2017,17.49,52320,0.32
ADANIPOWER,Mar 2018,59.43,52835,0.29
ADANIPOWER,Mar 2019,6.09,46977,0.35
ADANIPOWER,Mar 2020,8.52,55196,0.35
LODHA,Mar 2011,7.52,5220,0.23
LODHA,Mar 2019,6.68,24236,0.24
UNIONBANK,Mar 2013,16.61,205781,0.08
UNIONBANK,Mar 2014,17.55,232442,0.08
UNIONBANK,Mar 2015,17.72,266800,0.08
UNIONBANK,Mar 2016,16.26,284181,0.08
UNIONBANK,Mar 2017,17.37,304979,0.07
UNIONBANK,Mar 2018,18.06,330484,0.07
UNIONBANK,Mar 2019,17.17,332389,0.07
UNIONBANK,Mar 2020,14.86,350899,0.07
UNIONBANK,Mar 2021,15.1,638517,0.06
UNIONBANK,Mar 2022,15.32,733774,0.06
UNIONBANK,Mar 2023,14.76,819332,0.06
UNIONBANK,Mar 2024,12.82,907615,0.07
